cluster,count,percent_of_total,purity_if_available
Unclassified,155,30.82,0
Aviation,10,1.99,20.8
Photography & Cameras,45,8.95,12.871
"DIY, Home & Construction",33,6.56,5.291
Business & Marketing,54,10.74,8.007
News,87,17.30,10.028
General Tech & Reviews,30,5.96,6.453
AI & Emerging Tech,9,1.79,4.089
Health & Medicine,8,1.59,2.9
Health Brands,2,0.40,0.2
Music & Musicians,42,8.35,9.195
Video Editing & Creative Tools,8,1.59,4.85
Gardening,18,3.58,14.178
News Brands,1,0.20,4.6
Video Editing Brands,1,0.20,0.2
